task_id,task_type,zone,created_at,sla_tier,sla_deadline,status,duration_mins,dwell_time_mins,completed_at,appointment_id,assigned_worker,priority_score
TSK-0000033,putaway,B,2026-02-02 06:35,critical,2026-02-02 08:35,completed,6,31,2026-02-02 07:06,APT-000009,WKR-018,
TSK-0000034,pick,D,2026-02-02 07:08,urgent,2026-02-02 11:08,completed,4,23,2026-02-02 07:31,APT-000009,WKR-038,
TSK-0000035,unload,B,2026-02-02 10:56,economy,2026-02-03 10:56,completed,34,46,2026-02-02 11:42,APT-000010,WKR-016,
TSK-0000036,QC,A,2026-02-02 10:10,urgent,2026-02-02 14:10,completed,12,19,2026-02-02 10:29,APT-000010,WKR-058,
TSK-0000037,putaway,D,2026-02-02 13:52,standard,2026-02-02 21:52,completed,11,28,2026-02-02 14:20,APT-000011,WKR-043,
TSK-0000038,pick,D,2026-02-02 12:48,standard,2026-02-02 20:48,completed,7,18,2026-02-02 13:06,APT-000011,WKR-021,
TSK-0000039,putaway,D,2026-02-02 13:15,economy,2026-02-03 13:15,completed,5,30,2026-02-02 13:45,APT-000011,WKR-041,
TSK-0000040,putaway,D,2026-02-02 14:05,economy,2026-02-03 14:05,completed,15,33,2026-02-02 14:38,APT-000011,WKR-014,
TSK-0000041,unload,D,2026-02-02 14:06,economy,2026-02-03 14:06,completed,40,40,2026-02-02 14:46,APT-000011,WKR-006,
TSK-0000042,putaway,D,2026-02-02 13:54,standard,2026-02-02 21:54,completed,13,25,2026-02-02 14:19,APT-000012,WKR-038,
TSK-0000043,putaway,D,2026-02-02 13:44,standard,2026-02-02 21:44,pending,8,166,,APT-000012,WKR-001,
TSK-0000044,putaway,D,2026-02-02 13:23,urgent,2026-02-02 17:23,completed,14,16,2026-02-02 13:39,APT-000012,WKR-009,
TSK-0000045,putaway,D,2026-02-02 14:15,standard,2026-02-02 22:15,completed,14,33,2026-02-02 14:48,APT-000012,WKR-011,
TSK-0000046,putaway,B,2026-02-02 12:46,urgent,2026-02-02 16:46,completed,6,15,2026-02-02 13:01,APT-000013,WKR-041,
TSK-0000047,pick,B,2026-02-02 13:05,urgent,2026-02-02 17:05,completed,9,23,2026-02-02 13:28,APT-000013,WKR-060,
TSK-0000048,putaway,B,2026-02-02 12:07,standard,2026-02-02 20:07,completed,11,20,2026-02-02 12:27,APT-000013,WKR-050,
TSK-0000049,unload,B,2026-02-02 12:40,standard,2026-02-02 20:40,completed,23,44,2026-02-02 13:24,APT-000013,WKR-055,
TSK-0000050,putaway,A,2026-02-02 13:21,standard,2026-02-02 21:21,completed,13,34,2026-02-02 13:55,APT-000014,WKR-048,
TSK-0000051,putaway,A,2026-02-02 14:45,economy,2026-02-03 14:45,completed,17,34,2026-02-02 15:19,APT-000014,WKR-050,
TSK-0000052,pick,C,2026-02-02 14:32,critical,2026-02-02 16:32,completed,11,12,2026-02-02 14:44,APT-000014,WKR-001,
TSK-0000053,QC,A,2026-02-02 14:19,urgent,2026-02-02 18:19,completed,21,45,2026-02-02 15:04,APT-000014,WKR-019,
TSK-0000054,putaway,A,2026-02-02 14:56,standard,2026-02-02 22:56,completed,12,25,2026-02-02 15:21,APT-000014,WKR-027,
TSK-0000055,QC,B,2026-02-02 12:53,standard,2026-02-02 20:53,completed,9,15,2026-02-02 13:08,APT-000015,WKR-025,
TSK-0000056,pick,B,2026-02-02 13:39,urgent,2026-02-02 17:39,completed,6,8,2026-02-02 13:47,APT-000015,WKR-037,
TSK-0000057,cycle-count,C,2026-02-02 11:59,critical,2026-02-02 13:59,completed,15,27,2026-02-02 12:26,APT-000015,WKR-054,
TSK-0000058,replenishment,B,2026-02-02 13:29,standard,2026-02-02 21:29,completed,21,43,2026-02-02 14:12,APT-000015,WKR-050,
TSK-0000059,pick,D,2026-02-02 16:14,economy,2026-02-03 16:14,completed,9,18,2026-02-02 16:32,APT-000016,WKR-014,
TSK-0000060,cycle-count,A,2026-02-02 16:59,standard,2026-02-03 00:59,completed,19,36,2026-02-02 17:35,APT-000016,WKR-012,
TSK-0000061,QC,C,2026-02-02 15:10,standard,2026-02-02 23:10,completed,11,13,2026-02-02 15:23,APT-000017,WKR-010,
TSK-0000062,cycle-count,D,2026-02-02 15:21,standard,2026-02-02 23:21,pending,19,144,,APT-000017,WKR-006,
TSK-0000063,pick,A,2026-02-02 14:02,urgent,2026-02-02 18:02,completed,3,9,2026-02-02 14:11,APT-000017,WKR-016,
TSK-0000064,unload,C,2026-02-02 14:31,urgent,2026-02-02 18:31,completed,30,46,2026-02-02 15:17,APT-000017,WKR-053,
TSK-0000065,pick,C,2026-02-02 13:07,urgent,2026-02-02 17:07,completed,3,11,2026-02-02 13:18,APT-000018,WKR-033,
TSK-0000066,replenishment,D,2026-02-02 13:20,standard,2026-02-02 21:20,completed,22,29,2026-02-02 13:49,APT-000018,WKR-057,
TSK-0000067,pick,D,2026-02-02 13:59,urgent,2026-02-02 17:59,completed,12,16,2026-02-02 14:15,APT-000018,WKR-057,
TSK-0000068,cycle-count,D,2026-02-02 14:22,standard,2026-02-02 22:22,completed,17,40,2026-02-02 15:02,APT-000018,WKR-043,
TSK-0000069,pick,B,2026-02-02 10:38,critical,2026-02-02 12:38,completed,8,15,2026-02-02 10:53,APT-000019,WKR-024,
TSK-0000070,unload,A,2026-02-02 10:49,standard,2026-02-02 18:49,completed,35,51,2026-02-02 11:40,APT-000019,WKR-037,
TSK-0000071,unload,A,2026-02-02 13:09,critical,2026-02-02 15:09,completed,30,48,2026-02-02 13:57,APT-000020,WKR-019,
TSK-0000072,pick,D,2026-02-02 14:03,urgent,2026-02-02 18:03,completed,8,20,2026-02-02 14:23,APT-000020,WKR-031,
TSK-0000073,QC,B,2026-02-02 07:42,urgent,2026-02-02 11:42,completed,6,27,2026-02-02 08:09,APT-000021,WKR-060,
TSK-0000074,pick,C,2026-02-02 07:44,standard,2026-02-02 15:44,completed,6,19,2026-02-02 08:03,APT-000021,WKR-025,
TSK-0000075,pick,B,2026-02-02 08:08,urgent,2026-02-02 12:08,completed,10,12,2026-02-02 08:20,APT-000021,WKR-021,
TSK-0000076,putaway,C,2026-02-02 07:59,urgent,2026-02-02 11:59,completed,10,33,2026-02-02 08:32,APT-000021,WKR-020,
TSK-0000077,cycle-count,B,2026-02-02 12:20,standard,2026-02-02 20:20,completed,25,29,2026-02-02 12:49,APT-000022,WKR-019,
TSK-0000078,replenishment,C,2026-02-02 12:21,standard,2026-02-02 20:21,completed,21,46,2026-02-02 13:07,APT-000022,WKR-039,
TSK-0000079,replenishment,A,2026-02-02 11:05,standard,2026-02-02 19:05,exception,16,368,,APT-000022,WKR-015,
TSK-0000080,pick,B,2026-02-02 11:41,urgent,2026-02-02 15:41,completed,11,16,2026-02-02 11:57,APT-000022,WKR-050,
TSK-0000081,putaway,B,2026-02-02 09:45,standard,2026-02-02 17:45,completed,17,33,2026-02-02 10:18,APT-000023,WKR-023,
TSK-0000082,pick,D,2026-02-02 09:54,critical,2026-02-02 11:54,completed,8,16,2026-02-02 10:10,APT-000023,WKR-006,
TSK-0000083,unload,B,2026-02-02 10:35,economy,2026-02-03 10:35,completed,12,18,2026-02-02 10:53,APT-000023,WKR-051,
TSK-0000084,pick,B,2026-02-02 13:14,urgent,2026-02-02 17:14,pending,8,162,,APT-000024,WKR-024,
TSK-0000085,pick,C,2026-02-02 12:01,standard,2026-02-02 20:01,completed,9,33,2026-02-02 12:34,APT-000024,WKR-047,
TSK-0000086,unload,C,2026-02-02 12:57,urgent,2026-02-02 16:57,completed,26,29,2026-02-02 13:26,APT-000024,WKR-004,
TSK-0000087,putaway,A,2026-02-02 15:43,standard,2026-02-02 23:43,completed,11,19,2026-02-02 16:02,APT-000025,WKR-028,
TSK-0000088,QC,B,2026-02-02 15:41,standard,2026-02-02 23:41,completed,8,24,2026-02-02 16:05,APT-000025,WKR-024,
TSK-0000089,putaway,D,2026-02-02 13:34,standard,2026-02-02 21:34,completed,8,29,2026-02-02 14:03,APT-000026,WKR-020,
TSK-0000090,putaway,D,2026-02-02 15:14,standard,2026-02-02 23:14,completed,14,38,2026-02-02 15:52,APT-000026,WKR-004,
TSK-0000091,QC,A,2026-02-02 13:43,critical,2026-02-02 15:43,exception,14,190,,APT-000026,WKR-043,
TSK-0000092,QC,A,2026-02-02 08:58,standard,2026-02-02 16:58,completed,19,20,2026-02-02 09:18,APT-000027,WKR-049,
TSK-0000093,pick,D,2026-02-02 09:08,economy,2026-02-03 09:08,completed,9,18,2026-02-02 09:26,APT-000027,WKR-034,
TSK-0000094,putaway,A,2026-02-02 07:56,economy,2026-02-03 07:56,completed,10,19,2026-02-02 08:15,APT-000027,WKR-016,
TSK-0000095,unload,A,2026-02-02 07:35,urgent,2026-02-02 11:35,completed,20,32,2026-02-02 08:07,APT-000027,WKR-002,
TSK-0000096,putaway,A,2026-02-03 08:07,standard,2026-02-03 16:07,completed,11,29,2026-02-03 08:36,APT-000028,WKR-005,
TSK-0000097,putaway,A,2026-02-03 07:43,standard,2026-02-03 15:43,completed,11,23,2026-02-03 08:06,APT-000028,WKR-020,
TSK-0000098,putaway,D,2026-02-03 11:24,economy,2026-02-04 11:24,completed,6,10,2026-02-03 11:34,APT-000029,WKR-025,
TSK-0000099,pick,C,2026-02-03 11:51,standard,2026-02-03 19:51,completed,9,16,2026-02-03 12:07,APT-000029,WKR-049,
TSK-0000100,replenishment,C,2026-02-03 12:11,urgent,2026-02-03 16:11,completed,26,27,2026-02-03 12:38,APT-000029,WKR-026,
TSK-0000101,putaway,D,2026-02-03 11:04,standard,2026-02-03 19:04,completed,18,29,2026-02-03 11:33,APT-000029,WKR-041,
TSK-0000102,cycle-count,A,2026-02-03 14:35,standard,2026-02-03 22:35,completed,29,47,2026-02-03 15:22,APT-000030,WKR-002,
TSK-0000103,pick,D,2026-02-03 13:30,standard,2026-02-03 21:30,completed,10,19,2026-02-03 13:49,APT-000030,WKR-047,
TSK-0000104,pick,B,2026-02-03 13:05,standard,2026-02-03 21:05,completed,4,25,2026-02-03 13:30,APT-000030,WKR-028,
TSK-0000105,putaway,B,2026-02-03 14:25,economy,2026-02-04 14:25,completed,20,31,2026-02-03 14:56,APT-000030,WKR-020,
TSK-0000106,QC,B,2026-02-03 13:05,standard,2026-02-03 21:05,completed,15,29,2026-02-03 13:34,APT-000030,WKR-019,
TSK-0000107,unload,C,2026-02-03 10:53,critical,2026-02-03 12:53,completed,27,46,2026-02-03 11:39,APT-000031,WKR-004,
TSK-0000108,pick,A,2026-02-03 11:01,critical,2026-02-03 13:01,completed,10,25,2026-02-03 11:26,APT-000031,WKR-053,
TSK-0000109,replenishment,D,2026-02-03 10:09,standard,2026-02-03 18:09,completed,21,41,2026-02-03 10:50,APT-000031,WKR-044,
TSK-0000110,replenishment,A,2026-02-03 10:04,urgent,2026-02-03 14:04,completed,18,29,2026-02-03 10:33,APT-000031,WKR-054,
TSK-0000111,pick,A,2026-02-03 10:21,standard,2026-02-03 18:21,completed,7,20,2026-02-03 10:41,APT-000031,WKR-005,
TSK-0000112,pick,A,2026-02-03 18:50,standard,2026-02-04 02:50,pending,12,86,,APT-000032,WKR-004,
TSK-0000113,unload,D,2026-02-03 18:36,urgent,2026-02-03 22:36,completed,18,20,2026-02-03 18:56,APT-000032,WKR-013,
TSK-0000114,unload,D,2026-02-03 19:07,standard,2026-02-04 03:07,completed,22,39,2026-02-03 19:46,APT-000032,WKR-048,
TSK-0000115,pick,C,2026-02-03 09:02,urgent,2026-02-03 13:02,completed,9,31,2026-02-03 09:33,APT-000033,WKR-023,
TSK-0000116,cycle-count,D,2026-02-03 08:52,standard,2026-02-03 16:52,completed,30,47,2026-02-03 09:39,APT-000033,WKR-017,
TSK-0000117,cycle-count,B,2026-02-03 08:45,standard,2026-02-03 16:45,completed,21,38,2026-02-03 09:23,APT-000033,WKR-032,
TSK-0000118,replenishment,C,2026-02-03 08:06,standard,2026-02-03 16:06,completed,26,43,2026-02-03 08:49,APT-000033,WKR-024,
TSK-0000119,unload,B,2026-02-03 07:59,standard,2026-02-03 15:59,completed,31,49,2026-02-03 08:48,APT-000034,WKR-058,
TSK-0000120,unload,B,2026-02-03 08:13,critical,2026-02-03 10:13,completed,19,43,2026-02-03 08:56,APT-000034,WKR-043,
TSK-0000121,unload,B,2026-02-03 07:58,standard,2026-02-03 15:58,completed,38,58,2026-02-03 08:56,APT-000034,WKR-003,
TSK-0000122,QC,A,2026-02-03 08:17,urgent,2026-02-03 12:17,completed,16,33,2026-02-03 08:50,APT-000034,WKR-055,
TSK-0000123,replenishment,B,2026-02-03 10:00,standard,2026-02-03 18:00,pending,11,163,,APT-000035,WKR-001,
TSK-0000124,pick,C,2026-02-03 09:56,critical,2026-02-03 11:56,completed,7,11,2026-02-03 10:07,APT-000035,WKR-040,
TSK-0000125,unload,A,2026-02-03 09:26,standard,2026-02-03 17:26,completed,13,37,2026-02-03 10:03,APT-000035,WKR-002,
TSK-0000126,cycle-count,D,2026-02-03 09:06,urgent,2026-02-03 13:06,completed,6,24,2026-02-03 09:30,APT-000035,WKR-040,
TSK-0000127,cycle-count,D,2026-02-03 10:36,critical,2026-02-03 12:36,completed,17,27,2026-02-03 11:03,APT-000035,WKR-012,
TSK-0000128,putaway,B,2026-02-03 16:52,standard,2026-02-04 00:52,completed,15,34,2026-02-03 17:26,APT-000036,WKR-011,
TSK-0000129,cycle-count,B,2026-02-03 15:20,standard,2026-02-03 23:20,completed,23,27,2026-02-03 15:47,APT-000036,WKR-051,
TSK-0000130,replenishment,A,2026-02-03 16:25,economy,2026-02-04 16:25,completed,22,42,2026-02-03 17:07,APT-000036,WKR-005,
TSK-0000131,putaway,C,2026-02-03 09:58,urgent,2026-02-03 13:58,completed,17,42,2026-02-03 10:40,APT-000037,WKR-003,
TSK-0000132,unload,C,2026-02-03 09:43,urgent,2026-02-03 13:43,completed,13,25,2026-02-03 10:08,APT-000037,WKR-005,
TSK-0000133,unload,C,2026-02-03 10:19,standard,2026-02-03 18:19,completed,34,47,2026-02-03 11:06,APT-000037,WKR-024,
TSK-0000134,replenishment,A,2026-02-03 10:21,critical,2026-02-03 12:21,completed,19,43,2026-02-03 11:04,APT-000037,WKR-014,
TSK-0000135,replenishment,A,2026-02-03 09:44,critical,2026-02-03 11:44,pending,16,162,,APT-000037,WKR-013,
TSK-0000136,putaway,C,2026-02-03 11:08,urgent,2026-02-03 15:08,completed,3,28,2026-02-03 11:36,APT-000038,WKR-031,
TSK-0000137,pick,C,2026-02-03 11:23,urgent,2026-02-03 15:23,pending,11,154,,APT-000038,WKR-012,
TSK-0000138,QC,D,2026-02-03 12:26,urgent,2026-02-03 16:26,completed,17,17,2026-02-03 12:43,APT-000038,WKR-058,
TSK-0000139,cycle-count,C,2026-02-03 11:01,standard,2026-02-03 19:01,completed,20,42,2026-02-03 11:43,APT-000038,WKR-005,
TSK-0000140,QC,C,2026-02-03 11:03,standard,2026-02-03 19:03,completed,9,27,2026-02-03 11:30,APT-000038,WKR-032,
TSK-0000141,replenishment,D,2026-02-03 11:46,economy,2026-02-04 11:46,completed,11,21,2026-02-03 12:07,APT-000039,WKR-057,
TSK-0000142,putaway,A,2026-02-03 11:51,critical,2026-02-03 13:51,completed,20,38,2026-02-03 12:29,APT-000039,WKR-054,
TSK-0000143,unload,A,2026-02-03 12:34,standard,2026-02-03 20:34,completed,26,38,2026-02-03 13:12,APT-000039,WKR-021,
TSK-0000144,pick,D,2026-02-03 11:32,economy,2026-02-04 11:32,completed,10,16,2026-02-03 11:48,APT-000039,WKR-027,
TSK-0000145,pick,D,2026-02-03 08:40,critical,2026-02-03 10:40,completed,11,35,2026-02-03 09:15,APT-000040,WKR-033,
TSK-0000146,cycle-count,D,2026-02-03 09:33,standard,2026-02-03 17:33,completed,22,24,2026-02-03 09:57,APT-000040,WKR-032,
TSK-0000147,pick,A,2026-02-03 10:29,urgent,2026-02-03 14:29,pending,10,170,,APT-000040,WKR-051,
TSK-0000148,putaway,A,2026-02-03 09:34,critical,2026-02-03 11:34,completed,14,38,2026-02-03 10:12,APT-000040,WKR-019,
TSK-0000149,putaway,B,2026-02-03 09:35,standard,2026-02-03 17:35,completed,14,38,2026-02-03 10:13,APT-000041,WKR-044,
TSK-0000150,replenishment,D,2026-02-03 09:40,urgent,2026-02-03 13:40,exception,21,62,,APT-000041,WKR-059,
TSK-0000151,unload,B,2026-02-03 21:14,economy,2026-02-04 21:14,pending,25,132,,APT-000042,WKR-042,
TSK-0000152,cycle-count,D,2026-02-03 20:50,urgent,2026-02-04 00:50,completed,25,36,2026-02-03 21:26,APT-000042,WKR-010,
TSK-0000153,unload,B,2026-02-03 20:31,economy,2026-02-04 20:31,completed,16,24,2026-02-03 20:55,APT-000042,WKR-043,
TSK-0000154,replenishment,D,2026-02-03 16:30,urgent,2026-02-03 20:30,completed,21,38,2026-02-03 17:08,APT-000043,WKR-032,
TSK-0000155,unload,A,2026-02-03 18:04,urgent,2026-02-03 22:04,completed,25,39,2026-02-03 18:43,APT-000043,WKR-009,
TSK-0000156,QC,C,2026-02-03 16:35,standard,2026-02-04 00:35,completed,6,29,2026-02-03 17:04,APT-000043,WKR-023,
TSK-0000157,pick,A,2026-02-03 18:22,urgent,2026-02-03 22:22,completed,11,28,2026-02-03 18:50,APT-000043,WKR-008,
TSK-0000158,cycle-count,D,2026-02-03 14:20,urgent,2026-02-03 18:20,completed,15,28,2026-02-03 14:48,APT-000044,WKR-055,
TSK-0000159,pick,D,2026-02-03 14:23,standard,2026-02-03 22:23,completed,6,28,2026-02-03 14:51,APT-000044,WKR-059,
TSK-0000160,unload,D,2026-02-03 13:45,urgent,2026-02-03 17:45,completed,26,30,2026-02-03 14:15,APT-000044,WKR-028,
TSK-0000161,unload,B,2026-02-03 21:14,urgent,2026-02-04 01:14,completed,38,46,2026-02-03 22:00,APT-000045,WKR-054,
TSK-0000162,pick,C,2026-02-03 20:18,economy,2026-02-04 20:18,completed,12,22,2026-02-03 20:40,APT-000045,WKR-003,
TSK-0000163,cycle-count,D,2026-02-03 16:29,standard,2026-02-04 00:29,pending,18,31,,APT-000046,WKR-057,
TSK-0000164,pick,B,2026-02-03 15:30,urgent,2026-02-03 19:30,completed,3,24,2026-02-03 15:54,APT-000046,WKR-010,
TSK-0000165,pick,B,2026-02-03 08:28,urgent,2026-02-03 12:28,completed,8,14,2026-02-03 08:42,APT-000047,WKR-011,
TSK-0000166,pick,D,2026-02-03 09:30,standard,2026-02-03 17:30,completed,7,17,2026-02-03 09:47,APT-000047,WKR-013,
TSK-0000167,cycle-count,C,2026-02-03 08:21,critical,2026-02-03 10:21,completed,23,27,2026-02-03 08:48,APT-000047,WKR-013,
TSK-0000168,cycle-count,D,2026-02-03 08:31,standard,2026-02-03 16:31,completed,18,37,2026-02-03 09:08,APT-000047,WKR-015,
TSK-0000169,cycle-count,B,2026-02-03 08:40,standard,2026-02-03 16:40,pending,21,67,,APT-000047,WKR-042,
TSK-0000170,replenishment,A,2026-02-03 12:57,standard,2026-02-03 20:57,completed,10,23,2026-02-03 13:20,APT-000048,WKR-005,
TSK-0000171,pick,D,2026-02-03 13:37,critical,2026-02-03 15:37,completed,9,20,2026-02-03 13:57,APT-000048,WKR-033,
TSK-0000172,pick,B,2026-02-03 10:56,standard,2026-02-03 18:56,completed,10,32,2026-02-03 11:28,APT-000049,WKR-038,
TSK-0000173,unload,B,2026-02-03 11:27,critical,2026-02-03 13:27,completed,35,44,2026-02-03 12:11,APT-000049,WKR-022,
TSK-0000174,cycle-count,A,2026-02-03 11:37,urgent,2026-02-03 15:37,completed,15,28,2026-02-03 12:05,APT-000049,WKR-002,
TSK-0000175,putaway,B,2026-02-03 11:09,standard,2026-02-03 19:09,completed,3,10,2026-02-03 11:19,APT-000049,WKR-038,
TSK-0000176,unload,A,2026-02-03 20:22,standard,2026-02-04 04:22,exception,16,264,,APT-000050,WKR-009,
TSK-0000177,pick,A,2026-02-03 20:54,economy,2026-02-04 20:54,completed,6,17,2026-02-03 21:11,APT-000050,WKR-059,
TSK-0000178,putaway,A,2026-02-03 20:15,standard,2026-02-04 04:15,completed,19,37,2026-02-03 20:52,APT-000050,WKR-045,
TSK-0000179,putaway,A,2026-02-03 21:11,standard,2026-02-04 05:11,completed,12,22,2026-02-03 21:33,APT-000050,WKR-039,
TSK-0000180,pick,C,2026-02-03 21:17,critical,2026-02-03 23:17,exception,8,124,,APT-000050,WKR-010,
TSK-0000181,replenishment,D,2026-02-03 07:51,standard,2026-02-03 15:51,exception,27,61,,APT-000051,WKR-053,
TSK-0000182,pick,B,2026-02-03 07:46,critical,2026-02-03 09:46,completed,9,20,2026-02-03 08:06,APT-000051,WKR-022,
TSK-0000183,unload,B,2026-02-03 08:08,standard,2026-02-03 16:08,completed,21,26,2026-02-03 08:34,APT-000051,WKR-025,
TSK-0000184,replenishment,A,2026-02-03 14:47,standard,2026-02-03 22:47,completed,12,24,2026-02-03 15:11,APT-000052,WKR-014,
TSK-0000185,putaway,B,2026-02-03 15:44,standard,2026-02-03 23:44,completed,13,32,2026-02-03 16:16,APT-000052,WKR-040,
TSK-0000186,replenishment,B,2026-02-03 17:04,standard,2026-02-04 01:04,exception,11,74,,APT-000053,WKR-018,
TSK-0000187,cycle-count,A,2026-02-03 17:26,standard,2026-02-04 01:26,completed,14,14,2026-02-03 17:40,APT-000053,WKR-017,
TSK-0000188,cycle-count,D,2026-02-03 16:53,standard,2026-02-04 00:53,completed,27,31,2026-02-03 17:24,APT-000053,WKR-002,
TSK-0000189,cycle-count,D,2026-02-03 17:08,economy,2026-02-04 17:08,completed,30,43,2026-02-03 17:51,APT-000053,WKR-008,
TSK-0000190,unload,D,2026-02-03 11:02,urgent,2026-02-03 15:02,completed,39,41,2026-02-03 11:43,APT-000054,WKR-036,
TSK-0000191,pick,D,2026-02-03 09:41,standard,2026-02-03 17:41,completed,8,12,2026-02-03 09:53,APT-000054,WKR-027,
TSK-0000192,pick,A,2026-02-03 10:26,urgent,2026-02-03 14:26,completed,5,14,2026-02-03 10:40,APT-000054,WKR-014,
TSK-0000193,putaway,A,2026-02-04 13:59,standard,2026-02-04 21:59,completed,3,16,2026-02-04 14:15,APT-000055,WKR-026,
TSK-0000194,replenishment,D,2026-02-04 14:17,standard,2026-02-04 22:17,pending,23,12,,APT-000055,WKR-010,
TSK-0000195,pick,C,2026-02-04 15:18,standard,2026-02-04 23:18,completed,14,18,2026-02-04 15:36,APT-000055,WKR-009,
TSK-0000196,unload,A,2026-02-04 14:54,economy,2026-02-05 14:54,completed,25,32,2026-02-04 15:26,APT-000055,WKR-049,
TSK-0000197,unload,A,2026-02-04 11:17,urgent,2026-02-04 15:17,completed,23,42,2026-02-04 11:59,APT-000056,WKR-039,
TSK-0000198,putaway,A,2026-02-04 12:31,critical,2026-02-04 14:31,completed,12,31,2026-02-04 13:02,APT-000056,WKR-046,
TSK-0000199,unload,B,2026-02-04 14:20,standard,2026-02-04 22:20,completed,39,45,2026-02-04 15:05,APT-000057,WKR-022,
TSK-0000200,pick,B,2026-02-04 15:09,standard,2026-02-04 23:09,pending,8,166,,APT-000057,WKR-014,
TSK-0000201,QC,B,2026-02-04 14:04,standard,2026-02-04 22:04,completed,14,26,2026-02-04 14:30,APT-000057,WKR-035,
