shipment_id,appointment_id,date,carrier_id,status,arrival_delay_mins,wait_time_mins,actual_unload_duration_mins,pallet_count
SHP-000036,APT-000036,2026-02-03,CAR-002,completed,10.3,22.0,65.9,25
SHP-000037,APT-000037,2026-02-03,CAR-007,completed,0.4,21.7,43.7,14
SHP-000038,APT-000038,2026-02-03,CAR-007,completed,0.7,8.5,22.4,2
SHP-000039,APT-000039,2026-02-03,CAR-003,completed,0,18.3,21.5,8
SHP-000040,APT-000040,2026-02-03,CAR-021,completed,9.1,4.5,56.8,21
SHP-000041,APT-000041,2026-02-03,CAR-006,completed,5.1,17.2,73.5,29
SHP-000042,APT-000042,2026-02-03,CAR-010,completed,2.2,22.1,63.2,40
SHP-000043,APT-000043,2026-02-03,CAR-006,completed,1.1,4.4,32.7,1
SHP-000044,APT-000044,2026-02-03,CAR-016,completed,9.9,20.7,31.9,6
SHP-000045,APT-000045,2026-02-03,CAR-027,completed,0,16.2,40.7,9
SHP-000046,APT-000046,2026-02-03,CAR-015,completed,36.9,25.5,25.4,3
SHP-000047,APT-000047,2026-02-03,CAR-030,completed,14.5,7.5,31.8,9
SHP-000048,APT-000048,2026-02-03,CAR-026,completed,10.4,22.2,65.6,40
SHP-000049,APT-000049,2026-02-03,CAR-007,completed,0,12.3,88.4,47
SHP-000050,APT-000050,2026-02-03,CAR-003,completed,4.5,3.4,36.6,7
SHP-000051,APT-000051,2026-02-03,CAR-018,completed,0,15.8,65.6,48
SHP-000052,APT-000052,2026-02-03,CAR-029,completed,12.0,17.3,45.6,26
SHP-000053,APT-000053,2026-02-03,CAR-002,completed,0.3,17.4,22.6,9
SHP-000054,APT-000054,2026-02-03,CAR-020,completed,4.7,20.1,23.0,2
SHP-000055,APT-000055,2026-02-04,CAR-029,completed,15.1,10.2,39.9,8
SHP-000056,APT-000056,2026-02-04,CAR-009,completed,0,10.3,61.1,30
SHP-000057,APT-000057,2026-02-04,CAR-010,completed,17.3,8.8,20.0,7
SHP-000058,APT-000058,2026-02-04,CAR-015,completed,0,5.4,58.0,18
SHP-000059,APT-000059,2026-02-04,CAR-011,completed,8.1,17.4,28.4,9
SHP-000060,APT-000060,2026-02-04,CAR-004,completed,6.5,14.7,32.3,9
SHP-000061,APT-000061,2026-02-04,CAR-026,completed,27.1,13.7,56.3,25
SHP-000062,APT-000062,2026-02-04,CAR-030,completed,0.2,20.2,116.1,47
SHP-000063,APT-000063,2026-02-04,CAR-013,completed,0,10.5,44.2,21
SHP-000064,APT-000064,2026-02-04,CAR-017,completed,0,21.9,56.9,22
SHP-000065,APT-000065,2026-02-04,CAR-005,completed,1.9,12.7,119.8,35
SHP-000066,APT-000066,2026-02-04,CAR-012,completed,32.7,19.2,66.0,51
SHP-000067,APT-000067,2026-02-04,CAR-025,no_show,0,0,0,27
SHP-000068,APT-000068,2026-02-04,CAR-004,completed,0.8,13.6,34.6,7
SHP-000069,APT-000069,2026-02-04,CAR-019,completed,9.4,7.2,24.8,4
SHP-000070,APT-000070,2026-02-04,CAR-002,no_show,0,0,0,32
SHP-000071,APT-000071,2026-02-04,CAR-007,completed,3.4,9.6,54.3,26
SHP-000072,APT-000072,2026-02-04,CAR-020,completed,1.0,3.8,91.7,40
SHP-000073,APT-000073,2026-02-04,CAR-012,completed,0,15.1,58.9,12
SHP-000074,APT-000074,2026-02-04,CAR-027,completed,0,3.9,24.2,8
SHP-000075,APT-000075,2026-02-04,CAR-002,completed,0.0,12.9,27.1,8
SHP-000076,APT-000076,2026-02-04,CAR-027,completed,45.8,25.1,48.1,26
SHP-000077,APT-000077,2026-02-04,CAR-017,completed,7.1,15.8,66.5,46
SHP-000078,APT-000078,2026-02-04,CAR-027,no_show,0,0,0,5
SHP-000079,APT-000079,2026-02-04,CAR-002,completed,0,6.4,29.4,3
SHP-000080,APT-000080,2026-02-04,CAR-009,completed,7.2,17.0,41.4,12
SHP-000081,APT-000081,2026-02-04,CAR-012,completed,0,8.4,40.0,6
SHP-000082,APT-000082,2026-02-04,CAR-024,completed,13.6,14.5,28.5,1
SHP-000083,APT-000083,2026-02-04,CAR-019,completed,0,10.8,56.9,19
SHP-000084,APT-000084,2026-02-04,CAR-030,completed,9.6,10.5,63.7,31
SHP-000085,APT-000085,2026-02-05,CAR-022,completed,0,16.6,23.4,4
SHP-000086,APT-000086,2026-02-05,CAR-001,completed,0,14.8,42.2,17
SHP-000087,APT-000087,2026-02-05,CAR-010,completed,1.0,12.9,45.1,19
SHP-000088,APT-000088,2026-02-05,CAR-011,completed,20.5,24.3,39.8,6
SHP-000089,APT-000089,2026-02-05,CAR-029,completed,12.3,24.4,48.4,22
SHP-000090,APT-000090,2026-02-05,CAR-003,completed,4.0,13.7,70.1,20
SHP-000091,APT-000091,2026-02-05,CAR-016,completed,12.1,8.9,24.2,3
SHP-000092,APT-000092,2026-02-05,CAR-020,completed,2.1,10.4,46.6,20
SHP-000093,APT-000093,2026-02-05,CAR-007,completed,1.5,4.2,77.2,51
SHP-000094,APT-000094,2026-02-05,CAR-018,completed,17.7,12.4,26.9,9
SHP-000095,APT-000095,2026-02-05,CAR-023,completed,54.8,28.5,34.2,1
SHP-000096,APT-000096,2026-02-05,CAR-019,completed,0,11.3,78.9,47
SHP-000097,APT-000097,2026-02-05,CAR-018,completed,10.7,19.8,43.7,14
SHP-000098,APT-000098,2026-02-05,CAR-004,completed,0,13.3,24.4,3
SHP-000099,APT-000099,2026-02-05,CAR-005,completed,0.1,21.3,65.6,13
SHP-000100,APT-000100,2026-02-05,CAR-022,completed,6.8,18.8,60.8,33
SHP-000101,APT-000101,2026-02-05,CAR-026,completed,34.5,18.7,42.4,13
SHP-000102,APT-000102,2026-02-05,CAR-012,completed,25.3,16.1,45.5,11
SHP-000103,APT-000103,2026-02-05,CAR-003,completed,2.1,8.1,23.5,1
SHP-000104,APT-000104,2026-02-05,CAR-011,completed,37.3,24.7,63.2,16
SHP-000105,APT-000105,2026-02-05,CAR-025,completed,48.6,18.0,52.0,16
SHP-000106,APT-000106,2026-02-05,CAR-008,completed,3.8,9.6,65.7,24
SHP-000107,APT-000107,2026-02-05,CAR-026,completed,16.8,14.6,102.2,41
SHP-000108,APT-000108,2026-02-05,CAR-012,completed,18.2,7.2,30.7,4
SHP-000109,APT-000109,2026-02-06,CAR-022,completed,0,10.2,92.8,46
SHP-000110,APT-000110,2026-02-06,CAR-007,completed,0.5,10.0,59.7,13
SHP-000111,APT-000111,2026-02-06,CAR-029,completed,23.3,20.0,73.3,42
SHP-000112,APT-000112,2026-02-06,CAR-018,completed,8.7,20.8,35.7,20
SHP-000113,APT-000113,2026-02-06,CAR-016,completed,2.0,10.6,40.2,12
SHP-000114,APT-000114,2026-02-06,CAR-016,completed,4.3,4.0,33.9,10
SHP-000115,APT-000115,2026-02-06,CAR-004,completed,5.1,11.0,112.8,32
SHP-000116,APT-000116,2026-02-06,CAR-023,completed,102.5,32.9,58.3,11
SHP-000117,APT-000117,2026-02-06,CAR-016,completed,0,18.7,57.5,20
SHP-000118,APT-000118,2026-02-06,CAR-015,completed,13.6,20.3,108.3,41
SHP-000119,APT-000119,2026-02-06,CAR-010,completed,4.8,9.9,123.6,50
SHP-000120,APT-000120,2026-02-06,CAR-015,completed,12.4,20.4,44.4,3
SHP-000121,APT-000121,2026-02-06,CAR-007,completed,2.0,22.2,63.9,52
SHP-000122,APT-000122,2026-02-06,CAR-020,completed,3.3,2.9,36.8,12
SHP-000123,APT-000123,2026-02-06,CAR-004,completed,2.8,13.1,71.2,45
SHP-000124,APT-000124,2026-02-06,CAR-017,completed,0,7.6,81.4,47
SHP-000125,APT-000125,2026-02-06,CAR-010,completed,5.0,17.4,61.3,22
SHP-000126,APT-000126,2026-02-06,CAR-021,completed,0,5.9,32.9,2
SHP-000127,APT-000127,2026-02-06,CAR-028,completed,0,6.3,79.6,28
SHP-000128,APT-000128,2026-02-06,CAR-009,completed,8.9,19.5,105.9,39
SHP-000129,APT-000129,2026-02-06,CAR-027,completed,0,17.2,70.6,34
SHP-000130,APT-000130,2026-02-06,CAR-018,completed,0,10.4,103.8,30
SHP-000131,APT-000131,2026-02-06,CAR-029,completed,45.4,14.3,59.4,23
SHP-000132,APT-000132,2026-02-06,CAR-006,completed,0,6.6,67.4,24
SHP-000133,APT-000133,2026-02-06,CAR-018,completed,4.5,9.2,72.2,13
SHP-000134,APT-000134,2026-02-06,CAR-028,completed,36.2,28.5,30.6,9
SHP-000135,APT-000135,2026-02-06,CAR-025,completed,0.4,9.4,36.9,14
SHP-000136,APT-000136,2026-02-06,CAR-011,completed,10.0,22.4,92.2,41
SHP-000137,APT-000137,2026-02-07,CAR-018,completed,2.5,9.4,91.4,36
SHP-000138,APT-000138,2026-02-07,CAR-023,completed,94.6,40.1,53.5,15
SHP-000139,APT-000139,2026-02-07,CAR-010,completed,6.6,22.1,55.2,25
SHP-000140,APT-000140,2026-02-07,CAR-013,completed,0,10.2,73.7,20
SHP-000141,APT-000141,2026-02-07,CAR-003,completed,0,13.8,48.2,7
SHP-000142,APT-000142,2026-02-07,CAR-025,completed,18.2,16.8,68.2,11
SHP-000143,APT-000143,2026-02-07,CAR-027,completed,85.9,37.5,57.8,17
SHP-000144,APT-000144,2026-02-07,CAR-012,completed,23.4,11.7,45.7,6
SHP-000145,APT-000145,2026-02-07,CAR-012,completed,0,8.6,52.7,13
SHP-000146,APT-000146,2026-02-07,CAR-010,completed,0.5,11.5,35.0,1
SHP-000147,APT-000147,2026-02-07,CAR-023,completed,0.7,12.6,99.6,35
SHP-000148,APT-000148,2026-02-07,CAR-029,completed,31.5,8.5,101.2,44
SHP-000149,APT-000149,2026-02-08,CAR-027,completed,65.1,32.1,25.8,6
SHP-000150,APT-000150,2026-02-08,CAR-006,completed,2.6,18.6,75.9,28
SHP-000151,APT-000151,2026-02-08,CAR-005,completed,0.1,9.1,65.0,49
SHP-000152,APT-000152,2026-02-08,CAR-021,completed,13.9,9.1,26.6,3
SHP-000153,APT-000153,2026-02-09,CAR-029,completed,0,2.8,64.2,23
SHP-000154,APT-000154,2026-02-09,CAR-015,completed,0,18.8,31.5,9
SHP-000155,APT-000155,2026-02-09,CAR-016,completed,3.3,8.8,79.4,46
SHP-000156,APT-000156,2026-02-09,CAR-026,completed,38.7,11.1,61.5,22
SHP-000157,APT-000157,2026-02-09,CAR-023,completed,43.2,23.5,35.6,7
SHP-000158,APT-000158,2026-02-09,CAR-026,completed,35.6,26.3,79.4,50
SHP-000159,APT-000159,2026-02-09,CAR-007,completed,3.5,5.9,40.3,15
SHP-000160,APT-000160,2026-02-09,CAR-005,completed,0,11.8,44.9,6
SHP-000161,APT-000161,2026-02-09,CAR-028,completed,12.5,5.1,72.9,35
SHP-000162,APT-000162,2026-02-09,CAR-019,completed,0,5.0,87.1,33
SHP-000163,APT-000163,2026-02-09,CAR-024,completed,15.3,9.6,83.7,47
SHP-000164,APT-000164,2026-02-09,CAR-025,completed,18.6,20.0,84.3,43
SHP-000165,APT-000165,2026-02-09,CAR-013,completed,0,10.9,30.0,6
SHP-000166,APT-000166,2026-02-09,CAR-022,completed,8.8,12.7,89.3,46
SHP-000167,APT-000167,2026-02-09,CAR-001,completed,0,9.4,71.7,12
SHP-000168,APT-000168,2026-02-09,CAR-019,completed,5.1,7.3,57.8,19
SHP-000169,APT-000169,2026-02-09,CAR-017,completed,10.4,5.9,61.0,22
SHP-000170,APT-000170,2026-02-09,CAR-026,completed,20.9,17.1,79.0,42
SHP-000171,APT-000171,2026-02-09,CAR-018,no_show,0,0,0,22
SHP-000172,APT-000172,2026-02-09,CAR-013,completed,7.9,22.7,97.7,27
SHP-000173,APT-000173,2026-02-09,CAR-023,completed,49.9,15.0,96.3,36
SHP-000174,APT-000174,2026-02-09,CAR-027,completed,0,5.9,46.5,13
SHP-000175,APT-000175,2026-02-09,CAR-009,completed,0,17.1,75.0,14
SHP-000176,APT-000176,2026-02-09,CAR-006,completed,3.1,6.7,66.3,27
SHP-000177,APT-000177,2026-02-09,CAR-021,completed,19.9,25.6,73.6,40
SHP-000178,APT-000178,2026-02-09,CAR-014,completed,0,7.3,50.1,23
SHP-000179,APT-000179,2026-02-09,CAR-021,completed,22.8,20.9,58.9,14
SHP-000180,APT-000180,2026-02-10,CAR-021,completed,8.0,17.0,47.7,23
SHP-000181,APT-000181,2026-02-10,CAR-017,completed,2.9,5.1,19.4,2
SHP-000182,APT-000182,2026-02-10,CAR-007,completed,0,20.4,87.5,51
SHP-000183,APT-000183,2026-02-10,CAR-029,completed,27.6,14.5,63.7,21
SHP-000184,APT-000184,2026-02-10,CAR-028,completed,29.9,23.1,100.8,30
SHP-000185,APT-000185,2026-02-10,CAR-023,completed,57.2,26.3,70.8,16
SHP-000186,APT-000186,2026-02-10,CAR-010,completed,6.1,18.0,23.4,8
SHP-000187,APT-000187,2026-02-10,CAR-030,completed,0,10.7,96.8,37
SHP-000188,APT-000188,2026-02-10,CAR-011,completed,36.9,27.6,75.1,41
SHP-000189,APT-000189,2026-02-10,CAR-004,completed,2.3,20.5,104.4,41
SHP-000190,APT-000190,2026-02-10,CAR-017,completed,0,17.7,49.6,19
SHP-000191,APT-000191,2026-02-10,CAR-015,completed,6.8,14.4,114.4,34
SHP-000192,APT-000192,2026-02-10,CAR-007,completed,0,8.1,36.1,4
SHP-000193,APT-000193,2026-02-10,CAR-005,completed,1.9,13.8,26.1,3
SHP-000194,APT-000194,2026-02-10,CAR-013,completed,5.8,17.6,93.6,30
SHP-000195,APT-000195,2026-02-10,CAR-004,completed,6.6,11.5,106.9,31
SHP-000196,APT-000196,2026-02-10,CAR-015,completed,4.3,8.8,27.4,6
SHP-000197,APT-000197,2026-02-10,CAR-009,completed,12.3,20.0,75.5,36
SHP-000198,APT-000198,2026-02-10,CAR-015,completed,20.8,8.1,81.5,41
SHP-000199,APT-000199,2026-02-10,CAR-024,completed,20.8,14.8,70.0,19
SHP-000200,APT-000200,2026-02-10,CAR-020,completed,6.0,7.5,33.4,7
SHP-000201,APT-000201,2026-02-10,CAR-007,no_show,0,0,0,42
SHP-000202,APT-000202,2026-02-10,CAR-026,completed,6.7,3.7,35.2,3
SHP-000203,APT-000203,2026-02-11,CAR-001,completed,0,11.5,63.5,20
SHP-000204,APT-000204,2026-02-11,CAR-019,completed,6.4,4.8,72.0,51
SHP-000205,APT-000205,2026-02-11,CAR-023,no_show,0,0,0,5
SHP-000206,APT-000206,2026-02-11,CAR-014,completed,0,9.6,77.0,14
SHP-000207,APT-000207,2026-02-11,CAR-009,completed,18.9,19.0,23.6,8
SHP-000208,APT-000208,2026-02-11,CAR-021,completed,24.7,18.2,36.3,3
SHP-000209,APT-000209,2026-02-11,CAR-011,completed,43.5,24.1,28.4,1
SHP-000210,APT-000210,2026-02-11,CAR-006,completed,11.2,22.5,90.6,35
SHP-000211,APT-000211,2026-02-11,CAR-026,completed,34.6,22.2,49.0,20
SHP-000212,APT-000212,2026-02-11,CAR-016,completed,7.3,22.4,58.2,14
SHP-000213,APT-000213,2026-02-11,CAR-024,no_show,0,0,0,46
SHP-000214,APT-000214,2026-02-11,CAR-014,completed,0,17.2,60.4,18
SHP-000215,APT-000215,2026-02-11,CAR-016,completed,0,19.8,42.1,13
SHP-000216,APT-000216,2026-02-11,CAR-030,completed,23.7,22.6,46.3,19
SHP-000217,APT-000217,2026-02-11,CAR-026,completed,35.3,24.1,27.5,1
SHP-000218,APT-000218,2026-02-11,CAR-009,completed,0.6,20.1,67.0,25
SHP-000219,APT-000219,2026-02-11,CAR-022,completed,5.2,9.0,63.3,26
SHP-000220,APT-000220,2026-02-11,CAR-024,completed,36.7,26.0,101.7,27
SHP-000221,APT-000221,2026-02-11,CAR-010,completed,0,21.2,56.4,16
SHP-000222,APT-000222,2026-02-11,CAR-023,completed,83.1,19.8,67.7,48
SHP-000223,APT-000223,2026-02-11,CAR-017,completed,1.1,4.3,89.9,43
SHP-000224,APT-000224,2026-02-11,CAR-027,completed,105.1,24.5,64.7,20
SHP-000225,APT-000225,2026-02-11,CAR-005,completed,0,5.7,25.7,5
SHP-000226,APT-000226,2026-02-11,CAR-020,completed,6.9,12.1,27.1,2
SHP-000227,APT-000227,2026-02-11,CAR-011,completed,0,6.3,72.4,24
SHP-000228,APT-000228,2026-02-11,CAR-008,completed,0,8.0,80.1,13
SHP-000229,APT-000229,2026-02-12,CAR-016,completed,0,17.6,40.2,9
SHP-000230,APT-000230,2026-02-12,CAR-028,completed,68.5,24.0,68.8,22
SHP-000231,APT-000231,2026-02-12,CAR-009,completed,14.5,7.6,44.8,19
SHP-000232,APT-000232,2026-02-12,CAR-013,completed,15.2,14.9,31.0,7
SHP-000233,APT-000233,2026-02-12,CAR-027,completed,39.9,21.1,62.4,16
SHP-000234,APT-000234,2026-02-12,CAR-004,completed,0,14.6,56.7,12
SHP-000235,APT-000235,2026-02-12,CAR-022,completed,0.9,20.0,43.5,15
SHP-000236,APT-000236,2026-02-12,CAR-030,completed,21.9,20.2,33.6,2
SHP-000237,APT-000237,2026-02-12,CAR-030,no_show,0,0,0,33
SHP-000238,APT-000238,2026-02-12,CAR-005,completed,0,16.4,88.7,37
SHP-000239,APT-000239,2026-02-12,CAR-018,completed,1.6,17.8,31.4,1
SHP-000240,APT-000240,2026-02-12,CAR-014,completed,3.8,21.5,27.9,10
SHP-000241,APT-000241,2026-02-12,CAR-020,completed,2.2,2.5,27.7,4
SHP-000242,APT-000242,2026-02-12,CAR-010,completed,20.1,25.8,31.2,4
SHP-000243,APT-000243,2026-02-12,CAR-013,no_show,0,0,0,18
SHP-000244,APT-000244,2026-02-12,CAR-019,completed,0,4.7,37.8,3
SHP-000245,APT-000245,2026-02-12,CAR-028,completed,47.3,20.8,30.4,2
SHP-000246,APT-000246,2026-02-12,CAR-012,completed,30.1,11.9,57.4,15
SHP-000247,APT-000247,2026-02-12,CAR-027,completed,32.2,26.7,64.3,25
SHP-000248,APT-000248,2026-02-12,CAR-029,completed,0,8.6,33.6,8
SHP-000249,APT-000249,2026-02-12,CAR-003,completed,3.5,4.3,41.5,17
SHP-000250,APT-000250,2026-02-12,CAR-002,completed,0,3.6,38.8,7
SHP-000251,APT-000251,2026-02-12,CAR-006,completed,6.0,21.0,48.9,7
SHP-000252,APT-000252,2026-02-12,CAR-001,completed,0,9.3,63.1,18
SHP-000253,APT-000253,2026-02-12,CAR-015,completed,7.4,21.0,70.3,31
SHP-000254,APT-000254,2026-02-12,CAR-005,completed,0.1,20.4,43.2,22
SHP-000255,APT-000255,2026-02-13,CAR-022,completed,1.6,21.8,24.4,6
SHP-000256,APT-000256,2026-02-13,CAR-016,completed,0,4.5,46.0,17
SHP-000257,APT-000257,2026-02-13,CAR-006,completed,0,7.9,90.6,42
SHP-000258,APT-000258,2026-02-13,CAR-020,completed,12.8,19.5,96.3,46
SHP-000259,APT-000259,2026-02-13,CAR-016,completed,8.7,8.4,48.6,7
SHP-000260,APT-000260,2026-02-13,CAR-026,completed,8.7,18.3,41.4,12
SHP-000261,APT-000261,2026-02-13,CAR-010,completed,0,5.8,43.9,7
SHP-000262,APT-000262,2026-02-13,CAR-008,completed,10.7,5.4,92.1,31
SHP-000263,APT-000263,2026-02-13,CAR-013,completed,30.3,14.6,29.9,3
SHP-000264,APT-000264,2026-02-13,CAR-008,completed,0,9.0,45.8,8
SHP-000265,APT-000265,2026-02-13,CAR-027,completed,15.4,22.0,34.9,25
SHP-000266,APT-000266,2026-02-13,CAR-028,completed,0,20.4,41.6,3
SHP-000267,APT-000267,2026-02-13,CAR-028,completed,39.6,21.2,48.8,9
SHP-000268,APT-000268,2026-02-13,CAR-006,completed,3.8,16.4,26.6,2
SHP-000269,APT-000269,2026-02-13,CAR-010,completed,2.6,12.4,39.7,22
SHP-000270,APT-000270,2026-02-13,CAR-017,completed,0,5.9,76.1,44
SHP-000271,APT-000271,2026-02-13,CAR-002,completed,5.7,6.2,102.0,39
SHP-000272,APT-000272,2026-02-13,CAR-007,completed,0,7.8,109.9,34
SHP-000273,APT-000273,2026-02-13,CAR-027,completed,93.7,31.4,105.9,48
SHP-000274,APT-000274,2026-02-13,CAR-005,completed,0,21.2,46.5,26
SHP-000275,APT-000275,2026-02-13,CAR-008,completed,15.8,18.4,24.4,9
SHP-000276,APT-000276,2026-02-13,CAR-028,no_show,0,0,0,25
SHP-000277,APT-000277,2026-02-13,CAR-029,no_show,0,0,0,35
SHP-000278,APT-000278,2026-02-13,CAR-030,completed,23.2,14.8,92.3,44
SHP-000279,APT-000279,2026-02-13,CAR-024,completed,31.8,26.5,23.5,3
SHP-000280,APT-000280,2026-02-14,CAR-001,completed,0,5.9,33.8,7
SHP-000281,APT-000281,2026-02-14,CAR-008,completed,15.4,22.7,90.0,36
SHP-000282,APT-000282,2026-02-14,CAR-002,completed,0,3.4,60.9,15
SHP-000283,APT-000283,2026-02-14,CAR-019,completed,16.3,25.2,91.7,51
SHP-000284,APT-000284,2026-02-14,CAR-009,completed,11.5,15.2,23.4,5
SHP-000285,APT-000285,2026-02-14,CAR-020,completed,0,4.6,51.5,20
SHP-000286,APT-000286,2026-02-14,CAR-018,completed,15.0,7.9,54.4,12
SHP-000287,APT-000287,2026-02-14,CAR-013,completed,7.9,15.0,39.1,16
SHP-000288,APT-000288,2026-02-14,CAR-030,completed,12.8,10.1,38.9,5
SHP-000289,APT-000289,2026-02-14,CAR-019,completed,6.3,12.8,47.7,7
SHP-000290,APT-000290,2026-02-15,CAR-026,completed,3.5,13.2,73.1,28
SHP-000291,APT-000291,2026-02-15,CAR-028,completed,4.4,16.3,101.8,52
SHP-000292,APT-000292,2026-02-15,CAR-015,completed,0,2.4,59.1,21
SHP-000293,APT-000293,2026-02-15,CAR-001,completed,0,5.5,34.6,10
SHP-000294,APT-000294,2026-02-15,CAR-021,completed,19.2,18.9,56.6,40
SHP-000295,APT-000295,2026-02-15,CAR-025,completed,20.0,24.9,81.6,40
SHP-000296,APT-000296,2026-02-15,CAR-023,completed,97.6,39.8,77.1,36
SHP-000297,APT-000297,2026-02-15,CAR-016,completed,7.4,7.4,88.2,36
SHP-000298,APT-000298,2026-02-15,CAR-027,completed,73.7,17.4,97.3,36
SHP-000299,APT-000299,2026-02-16,CAR-025,completed,0,3.7,54.5,39
SHP-000300,APT-000300,2026-02-16,CAR-008,completed,0,4.0,60.4,48
SHP-000301,APT-000301,2026-02-16,CAR-002,completed,0,13.0,85.8,52
SHP-000302,APT-000302,2026-02-16,CAR-030,completed,0,14.7,91.8,28
SHP-000303,APT-000303,2026-02-16,CAR-024,completed,30.1,13.1,54.2,26
SHP-000304,APT-000304,2026-02-16,CAR-026,completed,3.8,12.0,87.3,44
SHP-000305,APT-000305,2026-02-16,CAR-022,completed,9.8,6.9,73.2,51
SHP-000306,APT-000306,2026-02-16,CAR-015,completed,21.0,11.4,51.5,38
SHP-000307,APT-000307,2026-02-16,CAR-011,completed,0,17.2,57.4,32
SHP-000308,APT-000308,2026-02-16,CAR-005,completed,0,10.4,65.1,25
SHP-000309,APT-000309,2026-02-16,CAR-022,completed,5.1,5.6,59.5,21
SHP-000310,APT-000310,2026-02-16,CAR-010,completed,21.0,14.5,33.8,7
SHP-000311,APT-000311,2026-02-16,CAR-015,completed,15.7,6.9,93.2,47
SHP-000312,APT-000312,2026-02-16,CAR-028,completed,23.0,7.4,95.5,41
SHP-000313,APT-000313,2026-02-16,CAR-026,completed,25.0,15.1,22.4,1
SHP-000314,APT-000314,2026-02-16,CAR-012,completed,39.4,24.1,26.9,9
SHP-000315,APT-000315,2026-02-16,CAR-030,completed,20.7,21.4,42.9,3
SHP-000316,APT-000316,2026-02-16,CAR-019,completed,0,16.8,25.2,7
SHP-000317,APT-000317,2026-02-16,CAR-025,completed,31.5,16.6,65.8,16
SHP-000318,APT-000318,2026-02-16,CAR-003,completed,1.7,3.3,95.6,45
SHP-000319,APT-000319,2026-02-16,CAR-025,completed,4.8,7.8,50.4,15
SHP-000320,APT-000320,2026-02-16,CAR-022,completed,3.7,12.9,54.1,26
SHP-000321,APT-000321,2026-02-16,CAR-003,completed,0,17.7,37.6,7
SHP-000322,APT-000322,2026-02-16,CAR-009,completed,19.6,6.3,32.4,3
SHP-000323,APT-000323,2026-02-16,CAR-026,completed,31.6,26.8,41.0,3
SHP-000324,APT-000324,2026-02-16,CAR-001,completed,0,16.1,58.3,38
SHP-000325,APT-000325,2026-02-16,CAR-030,completed,2.5,18.1,95.4,43
SHP-000326,APT-000326,2026-02-16,CAR-029,completed,36.7,20.7,55.2,15
SHP-000327,APT-000327,2026-02-16,CAR-029,completed,26.3,15.5,39.5,4
SHP-000328,APT-000328,2026-02-16,CAR-002,completed,2.0,10.3,92.5,39
